"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","TFT_0_Su16","TFT_Tb_Su16","TFT_0_Su17","TFT_Tb_Su17","TFT_0_Ro16","TFT_Tb_Ro16","TFT_0_Ro17","TFT_Tb_Ro17","TRT_0_Su16","TRT_Tb_Su16","TRT_0_Su17","TRT_Tb_Su17","TRT_0_Ro16","TRT_Tb_Ro16","TRT_0_Ro17","TRT_Tb_Ro17","PC1","PC2","PC3","PC4"
"CDC_LeMay_AGL",49.7,48.7,53.7,55.7,46.7,NA,47.3,33.7,665.2,2104.3,692.1,2326.1,762.6,2341.1,697.4,2297.4,897.8,2669,669.8,1961.8,940.3,2749.8,0,0,-2.3296,-1.2408,0.0069,0.4258
"CDC_Maxim_AGL",48.7,47,50.7,54.3,47.7,35,49.3,36,616.1,1955.5,675.3,2229.3,740,2252,677.5,2198.5,931.9,2741.9,704.9,2036.9,962.9,2777.3,708.2,2112.2,-7.9456,-0.533,3.9544,0.6773
"CDC_QG.1_AGL",50.7,51.7,56,57.7,48,NA,47,NA,730.8,1980.4,720.3,2025.3,781.7,2029.1,749.5,2051.5,898.3,2261.5,0,0,953.2,2378.8,0,0,5.0304,-0.4102,-0.4037,0.1206
"CDC_Red_Rider_AGL",51.7,49,56,57,47,31,46,32.5,724.8,2079.3,720.3,2160.3,808.8,2256.4,719.4,2113.4,862.6,2311.6,674.5,1762.5,937.8,2484.1,634.5,1722.5,6.7345,-3.0656,1.2652,-3.253
"CDC_Redcoat_AGL",51,50,56,57.7,47,NA,47.3,32,730.8,2908.8,720.3,3015.3,808.8,3074.8,727.8,2900.8,898.3,3274.3,659.9,2342.9,953.2,3425.2,0,0,-0.7231,-5.3904,0.8011,-0.6029
"CDC_Redwing_AGL",49.7,48.3,53.7,57.3,46.3,33,43,30,665.2,2638.6,713.8,3001.8,747.9,2855.9,683.4,2789.4,807.9,2983.7,659.9,2375.9,940.3,3417.2,667.7,2503.7,5.6605,1.1632,-0.8001,-0.1
"CDC_Robin_AGL",46.7,47,53,52,51.3,35,46.3,38,675.8,2032.9,646.3,2040.3,704.6,2054,677.5,2081.5,876.1,2431.8,741.4,2033.4,1042,2841.2,708.2,2004.2,0.2397,-1.1038,0.9409,0.5301
"CDC_Rosebud_AGL",50,47.3,54,54.7,48,35,45,34,686.9,1326.5,675.3,1347.3,781.7,1470.5,663.6,1309.6,860.7,1578.3,649.4,1177.4,972.3,1775.9,687.5,1282.5,6.1994,0.6065,-0.3466,-1.9293
"CDC_Rosetown_AGL",52.7,51,57.7,57.7,44.7,NA,42.7,34,746.3,2369.9,720.3,2430.3,819.2,2508.8,763.5,2440.5,801.7,2388.4,659.9,1913.9,899.7,2627.7,0,0,-2.472,-0.8688,1.4698,-1.6324
"CDC_Rouleau_AGL",50.7,48.7,55,55.3,47.3,NA,43.7,34,700.4,2328.1,692.1,2455.1,793.4,2577.9,697.4,2417.4,826.2,2573,688.1,2123.1,953.2,2945.2,0,0,-7.4243,-2.1951,4.037,-0.2387
