"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17"
"PI_431884_LSP_AGL",44.7,42,46.7,45.7,50.7,35,50.3,43.7
"PI_431888_LSP_AGL",48.3,43,47.3,49.3,49,37.7,49.7,36
"PI_431923_LSP_AGL",47,46,49.7,52.7,46,36,45.3,35.7
"PI_431980_LSP_AGL",45.7,42.7,47,46.7,49,37,48,42
"PI_432000_LSP_AGL",46,42.7,48.3,47,46.3,38,46,39
"PI_432001_LSP_AGL",44.3,45.3,48.3,47,51,36,49.7,39
"PI_432002_LSP_AGL",47,44.7,49.3,49.7,47.7,35.3,43,38
"PI_432005_LSP_AGL",46.3,45,47.3,47.7,51.7,36,48.7,40
"PI_432028_LSP_AGL",46.7,46,49.7,50.7,46.3,32,41.3,34
"PI_432033_LSP_AGL",46.7,45,48.3,50.7,46,32.3,42.3,38
"PI_432085_LSP_AGL",43.5,42.7,44.7,46,50,36.3,49.7,39.7
"PI_432106_LSP_AGL",46.3,44.7,49,48.7,50.3,37,47.7,42
"PI_432124_LSP_AGL",44.3,42,46.3,47.7,47.7,33.7,47,37.3
"PI_432145_LSP_AGL",46,45,50,53.3,47.3,31.7,44,33
"PI_432147_LSP_AGL",45.7,45.3,48.7,49.3,49,33.7,44,38
"PI_432184_LSP_AGL",43.7,41.3,46.7,46,51.7,37,51.3,42
"PI_432188_LSP_AGL",45.3,42.7,47,46.3,49.7,36.3,46.7,42.5
"PI_432190_LSP_AGL",48.7,46.7,52,54,46,NA,44,35
"PI_432201_LSP_AGL",45,46,50.7,52,51,34.7,48.3,38
"PI_432212_LSP_AGL",45,45.3,49.3,48.3,48,30.3,43.7,39
"PI_432236_LSP_AGL",44,44.7,51.3,49.3,51,31.7,40.3,35.5
"PI_432245_LSP_AGL",44.5,42,46.7,44.7,49.5,34.3,46.3,40.5
"PI_432271_LSP_AGL",50.7,50,54.3,55.3,46.7,34,48,35
"PI_432286_LSP_AGL",49.7,47.7,54.3,52.7,45,32,42,35.5
"PI_451763_LSP_AGL",44.7,43,47.3,46,52.3,38.5,47.7,43
"PI_458503_LSP_AGL",46,45.3,49,49,46.7,36.7,45.7,39.5
"PI_468900_LSP_AGL",48.3,45.7,52.7,51.7,49,34.7,46.7,36.3
"PI_468901_AGL",52.5,51.7,57.3,60.3,44.5,31,41,29.5
"PI_468902_LSP_AGL",45.3,45.3,49,47.7,50.7,36,47,42.5
"PI_472136_LSP_AGL",45.3,40.3,44.7,43.3,47,34,46.7,37.5
"PI_472205_LSP_AGL",44.3,41,44.7,44.3,48,35,46,39.3
"PI_472213_LSP_AGL",44,43,48.7,47.3,50,37.5,48.3,39.5
"PI_472327_LSP_AGL",43.3,39,45.3,44,45.3,34.7,48.7,39.3
"PI_472380_LSP_AGL",44,39.7,46,44,46.7,35.3,48,38.3
"PI_472416_LSP_AGL",43.3,42,48.7,46,48.7,32.3,44.3,37.7
"PI_472488_LSP_AGL",43,41.7,45,44.3,47.3,32.7,47.7,36.7
"PI_472559_LSP_AGL",43.3,41.7,47.7,43.3,46,33.3,45.7,39
"PI_472561_LSP_AGL",43.3,41.7,46.7,45.7,45.3,33.3,45,36
"PI_472569_LSP_AGL",44,42,47,43.5,47.3,33,45.7,37.5
"PI_472588_LSP_AGL",46.3,44.7,50.3,49.7,49.7,37.3,44.3,37
"PI_472590_LSP_AGL",43.7,43.7,47,48,49,33,44.7,37.7
"PI_472615_LSP_AGL",44,41,45.3,45.7,45.7,35.7,47.3,36.7
"PI_472629_LSP_AGL",43.3,42,46.7,46.3,50,38,44.7,39
"PI_477921_LSP_AGL",44,43.7,46.7,47.3,54,36,54,41
"PI_490288_LSP_AGL",48.3,48,52,54.7,48.3,34,47.3,32
"PI_490289_LSP_AGL",45,45.7,48.3,48.3,47.3,33.7,44,40
"PI_508090_AGL",44.7,43.3,48,46.3,52,38,49.3,42
"PI_518733_LSP_AGL",52,52.3,57.3,59.3,44,29,42.7,29
"PI_518734_LSP_AGL",52,52.7,58.3,60.3,44,29.5,44.3,31
"PI_533688_LSP_AGL",50.3,46.3,51.3,53.3,47,36,46,NA
"PI_533693_LSP_AGL",49.5,48.7,52.3,54.7,47.5,32.7,43.7,37
"PI_612875_AGL",45.3,39,45.3,45,43,34.3,45.3,36.3
"PI_643451_AGL",44.3,43,48,46,47,32.3,42,36.3
"PI_643452_AGL",44,42.7,46.7,44,46,32.3,44.3,38.7
"Shasta_AGL",49.7,46.7,52.3,50,47.7,34,47,41.5
"W6_27754_LSP_AGL",51.3,51,58,58,46,NA,44.7,33
"W6_27760_LSP_AGL",47,45.7,51,53.3,45.7,31,41,31.7
"W6_27763_LSP_AGL",44,42.3,47.3,46.3,46,32.7,44,41
"W6_27766_LSP_AGL",43.5,44.7,47.7,47,50.5,32.7,45.3,39.3
"W6_27767_LSP_AGL",45.7,45,50.7,49.3,44.3,31.5,38.7,33.3
